Use Case Group,Video Title,Flow,Priority,Description
Getting Started,How to sign up and complete your profile,Sign Up > Verify OTP > Profile > Edit > Upload Photo > Personal Details,Must-have,Sign up with email or phone / verify OTP / fill in name & photo & details. The very first thing every new learner does.
Getting Started,How to navigate your dashboard,Dashboard > My Courses + Live Classes + Streak + Notifications + Achievements,Must-have,Tour the home screen so learners know where everything lives: courses / live class calendar / streak counter / notifications / achievements.
Courses,How to take your first course,My Courses > [Course] > [Chapter] > Slide > Mark Complete > Download PDF > Offline Access,Must-have,The core learner flow: open a course / start a chapter / view slides / mark complete / download materials / enable offline access for travel or low-signal.
Live Classes,How to join and follow up on a live class,Live Sessions > Upcoming > Join > Past > Watch Recording > Attendance,Must-have,View your schedule of live classes / join one at the right time / re-watch the recording afterwards / check your attendance percentage.
Assessments,How to take an assessment,Assessments > [Assessment] > Start > Attempt > Submit > Result > Marks Breakdown > Response Analysis,Must-have,The complete assessment flow: start a timed test / attempt questions / submit / see your score / view marks per section / review your answers vs correct ones.
Doubts,How to ask a doubt and use the AI tutor,Courses > [Chapter] > Ask Doubt > Attach Photo > AI Tutor > Replies,Must-have,Two ways to get help: ask your instructor a doubt with a photo of your work / OR use the AI Tutor for instant 24/7 answers.
Payments,How to make a payment,My Payments > Invoices > [Invoice] > Pay > UPI/Card/Netbanking > Receipt > History,Must-have,Pay an invoice using UPI / card / netbanking / download the receipt / view your payment history. Covers everything about money in the app.
Profile,How to update your profile and notification settings,Profile > Edit > Photo + Password + 2FA + Notifications + Privacy Screen,Must-have,Manage your account: update details / change password / enable two-factor auth / pick which notifications you want / turn on privacy screen on mobile.
Mobile App,How to use the mobile app like a pro,Install > Offline Download > Dark Mode > OTA Updates,Should-have,Install on iOS or Android / pre-download chapters for offline study / switch to dark mode / pull the latest app version without going to the store.
Reports & Certificates,How to view your reports and certificates,My Reports > Performance + Subjects > My Certificates > Download > Share to LinkedIn,Should-have,Track your performance over time / drill into subject-wise insights / download your completion certificates / share achievements on LinkedIn.
