Use Case Group,Video Title,Flow,Priority,Description
Foundation,How to set up your institute,Settings > Institute Settings > Branding > Roles > Invite Team,Must-have,One-time foundational setup — institute name & logo / theme color / time zone / invite your first team members / assign roles. Covers everything you do once before anyone else logs in.
Foundation,How to connect your payment gateway,Settings > Payment Gateways > Razorpay/Stripe > Tax/GST > Invoice Template,Must-have,Connect Razorpay or Stripe / set up GST or tax / pick your default gateway / design your invoice header & footer. Get ready to collect money.
Foundation,How to connect your communication channels,Settings > WhatsApp > Wati/Meta > Email SMTP > Exotel Telephony,Must-have,Connect WhatsApp via Wati or Meta / connect SMTP for email / connect Exotel for click-to-call. Get all your outbound channels live.
LMS Course Creation,How to create your first course end-to-end,Courses > Create Course > Add Level > Add Session > Add Subject > Add Module > Add Chapter > Publish,Must-have,Walk through the full course structure: course → level → session → subject → module → chapter → publish. The single most important admin flow.
LMS Course Creation,How to add content to a course (PDF / video / quiz / coding),Courses > [Chapter] > Add Slide > PDF + Video + Quiz + Coding,Must-have,Show how to add each major slide type (PDF / video lecture / quiz / coding problem) and how to reorder them. One video covers all slide types.
LMS Course Creation,How to set drip rules and pricing for a course,Courses > [Course] > Drip Conditions + Pricing + Bundles,Should-have,Control when chapters unlock (time / completion) and set the price or installment plan for the course.
LMS Live + AI,How to run your first live class,Live Sessions > Create > Connect Zoom > Schedule > Recording > Attendance > Auto-Notes,Must-have,Schedule a live session / authorize Zoom / record automatically / track attendance / auto-generate notes & quiz from the recording with Instructor Copilot.
LMS Live + AI,How to create and run an assessment,Assessments > Create > Add Questions > Set Duration > Enable Proctoring > Assign > Schedule > Publish Results,Must-have,Complete assessment lifecycle: create / add questions from bank or AI / set timer / turn on proctoring / assign to a batch / schedule window / grade subjective answers / publish results.
LMS Live + AI,How to use AI to create a question paper,AI Center > VSmart > Question Paper from Document / Topic Questions / Paper Digitiser,Must-have,Three AI ways to make a paper: upload a document → AI extracts questions / type a topic → AI generates questions / scan a handwritten paper → AI digitises it.
LMS Live + AI,How to use AI to evaluate handwritten papers,AI Center > VSmart Feedback > Upload Sheets > Review > Publish,Should-have,Scan handwritten answer sheets / AI grades them / you review and adjust / publish results back to learners.
LMS Live + AI,How to create an AI explainer video with Vimotion,Vimotion > Create > Prompt or Deck > Edit > Embed in Course,Should-have,Generate an AI-narrated explainer video from a prompt or slide deck / edit captions and voiceover / embed it into a course chapter.
CRM,How to capture leads from your website and ads,Audience Manager > Create Form > Embed/Share > Connect Meta Lead Ads > Bulk Import,Must-have,Three ways to capture leads: build a custom form and embed on your website / share via link or WhatsApp / connect Facebook Lead Ads for auto-import / bulk import a CSV of leads.
CRM,How to set up your lead pipeline,Settings > Leads > Statuses + Tiers + Scoring + SLA,Must-have,Configure custom lead statuses (your pipeline) / set up HOT/WARM/COLD tiers / configure lead scoring rules / set SLA so leads can't be ignored.
CRM,How to distribute leads across your counsellor team,Settings > Leads > Pools > Create Pool > Add Members > Round Robin > Region/Schedule,Must-have,Create a counsellor pool / add members / configure round-robin or region-based routing / set working-hour shifts.
CRM,How to work a lead day-in-the-life,Audience Manager > [Lead] > View Profile > Add Note > Schedule Follow-up > WhatsApp/Email > Call > Update Status > Convert,Must-have,The counsellor's daily workflow: open a lead / read profile + timeline / log a note / schedule follow-up / send WhatsApp or email / make a call (Exotel) / update status / mark as Converted.
CRM,How to use the full-screen lead profile overlay,Audience Manager > [Lead] > Expand Icon > Section Nav,Should-have,Open the 90vw full-screen profile / use the left nav to jump between sections / faster for deep review than the drawer.
CRM,How to create email and WhatsApp templates,Settings > Templates > Email + WhatsApp > Submit Meta-approved,Should-have,Create a reusable email template with merge fields / submit a Meta-approved WhatsApp template / use them in workflows.
CRM,How to build a lead nurture workflow,Workflow > Create > Trigger > Send Email > Wait > Condition > Send WhatsApp > Schedule > Monitor,Must-have,Build a multi-step automation in the visual editor: pick a trigger / send an email / wait 2 days / branch on lead score / send WhatsApp / schedule the workflow / monitor executions.
CRM,How to read your CRM reports,Audience Manager > Reports > Conversion Funnel + Source ROI + Counsellor Performance,Should-have,Where leads are dropping off in the funnel / which sources are giving the best ROI / how each counsellor is performing.
Admissions,How to process applications and enquiries,Admissions > Enquiries > Convert > Application > Assign Counsellor > Documents > Status > Communication,Must-have,End-to-end admissions flow: enquiry comes in / convert to application / assign to counsellor / track document submission / track status / communicate with the applicant.
Learners + Payments,How to enroll learners and onboard them,Manage Learners > Bulk Enroll/Invite > Portal Access > Welcome Email > Track,Must-have,Bulk enroll from CSV or send invite links / grant portal access credentials / trigger the welcome flow / verify they logged in.
Learners + Payments,How to manage a learner's full profile,Manage Learners > [Learner] > Overview + Progress + Tests + Payment + Communication + Files + Edit,Must-have,Tour every tab of the learner side drawer: overview / progress / test history / payment history / communications / files / how to edit details.
Learners + Payments,How to handle fees from setup to collection,Settings > Fee Management > Plan + Installments > Create Invoice > Payment Link > Track > Refund,Must-have,Full payment lifecycle: set up a fee plan with installments / create an invoice for a learner / send a payment link via WhatsApp / track payment in logs / handle a refund.
Learners + Payments,How to create and apply coupon codes,Settings > Coupons > Create > Expiry/Limit > Apply at Checkout,Should-have,Issue a discount code / set expiry and usage limit / apply it on a learner's invoice. Useful for scholarship / promo / season-specific discounts.
Operations,How to manage student doubts,Doubts > View > Assign to Instructor > Reply > Mark Resolved + SLA Config,Must-have,How instructors handle the doubts queue: view incoming doubts / assign to the right instructor / reply with text or attachments / mark resolved / how to configure SLA so doubts don't get stuck.
Operations,How to read your admin dashboard and learner insights,Dashboard > KPIs + Finance Summary > Learner Insights > Reports,Must-have,Tour the admin dashboard / understand the KPI widgets / drill into Finance Summary / use Learner Insights to spot at-risk learners / generate a deep-dive report on one learner.
Operations,How to view assessment analytics,Assessments > [Assessment] > Analytics + Insights > Export,Should-have,Question-wise difficulty / score distribution / attempt rate / identifying which questions need rework / export to CSV.
Operations,How to set up sub-organizations and switch between them,Settings > Sub-Org > Create > Add Admins > Org Switcher,Nice-to-have,Set up a child branch under your main institute / give it its own admins / switch between sub-orgs from the top bar. Only needed for multi-branch institutes.
