Module,Video Title,Navigation Flow,Priority,Description
Getting Started,How to navigate the admin dashboard,Dashboard,Must-have,Tour of the main navigation: sidebar / top bar / search / quick actions.
Getting Started,How to invite team members,Settings > Teams > Invite Member,Must-have,Send invites to admins / teachers / counsellors so they can join the institute.
Getting Started,How to set up your institute name and logo,Settings > Institute Settings,Must-have,First-time setup of institute identity.
Getting Started,How to set your time zone and currency,Settings > Institute Settings > Locale,Should-have,Configure default time zone and currency for the institute.
Getting Started,How to enable dark mode,Profile > Preferences > Appearance,Nice-to-have,Switch the admin UI to dark mode.
Settings - Branding,How to set up white-label branding,Settings > White Label,Must-have,Apply your brand identity across the platform.
Settings - Branding,How to upload your institute logo,Settings > White Label > Logo,Must-have,Replace the default logo with your own.
Settings - Branding,How to set theme primary color,Settings > White Label > Theme,Should-have,Switch the primary accent color used across the dashboard.
Settings - Branding,How to set up a custom domain,Settings > White Label > Domain Routing,Should-have,Map a custom domain (yourinstitute.com) to your Vacademy tenant.
Settings - Branding,How to upload favicon and email logo,Settings > White Label > Assets,Nice-to-have,Brand the tabs / system emails with your own assets.
Settings - Roles & Permissions,How to create a custom role,Settings > Roles > Create Role,Must-have,Define a new role (e.g. Branch Admin / Counsellor Lead).
Settings - Roles & Permissions,How to assign permissions to a role,Settings > Roles > [Role] > Permissions,Must-have,Configure what each role can see and do.
Settings - Roles & Permissions,How to assign roles to team members,Settings > Roles > [Role] > Members,Must-have,Place team members into the appropriate role.
Settings - Roles & Permissions,How to set up team hierarchy,Settings > Teams > Hierarchy,Should-have,Build the org tree (HQ → branches → teams).
Settings - Roles & Permissions,How to configure role display settings,Settings > Display Settings > Roles,Should-have,Pick which sidebar items / KPIs each role sees.
Settings - Roles & Permissions,How to control side-view tab visibility per role,Settings > Display Settings > Side View,Should-have,Hide tabs from learner-profile drawer for specific roles.
Settings - Custom Fields,How to add a custom field,Settings > Custom Fields > Add Field,Must-have,Add a configurable field shown on forms / profiles / lists.
Settings - Custom Fields,How to group custom fields into a section,Settings > Custom Fields > Field Groups,Should-have,Group related fields so they render together.
Settings - Custom Fields,How to control field visibility per location,Settings > Custom Fields > [Field] > Visibility,Should-have,Show / hide a field per surface (learner list / admission form / lead profile).
Settings - Custom Fields,How to make a field required or optional,Settings > Custom Fields > [Field] > Required,Should-have,Toggle the required flag on a custom field.
Settings - Naming,How to rename course / level / session terms,Settings > Naming > Content Terms,Must-have,Use your institute's own vocabulary (e.g. Programme / Batch).
Settings - Naming,How to rename learner / teacher / counsellor terms,Settings > Naming > Role Terms,Should-have,Switch learner-facing labels (e.g. Student / Trainee).
Settings - Naming,How to rename system terminology,Settings > Naming > System Terms,Should-have,Override generic system labels institute-wide.
Settings - Payments,How to connect Razorpay,Settings > Payment Gateways > Razorpay,Must-have,Connect Razorpay as your payment gateway.
Settings - Payments,How to connect Stripe,Settings > Payment Gateways > Stripe,Must-have,Connect Stripe as your payment gateway.
Settings - Payments,How to connect Cashfree,Settings > Payment Gateways > Cashfree,Should-have,Connect Cashfree as an additional gateway.
Settings - Payments,How to connect eWay,Settings > Payment Gateways > eWay,Nice-to-have,Connect eWay (Australia / New Zealand) as a gateway.
Settings - Payments,How to set the default payment gateway,Settings > Payment Gateways > Default,Must-have,Pick which gateway processes new payments by default.
Settings - Payments,How to set up tax / GST,Settings > Invoice > Tax Settings,Must-have,Configure tax rates applied to invoices.
Settings - Payments,How to design an invoice template,Settings > Invoice > Templates,Should-have,Customize how invoices look (header / footer / line items).
Settings - Payments,How to set up payment reminders,Settings > Notifications > Payment Reminders,Should-have,Auto-remind learners about pending dues.
Settings - Payments,How to enable test mode on a gateway,Settings > Payment Gateways > Test Mode,Nice-to-have,Run transactions in sandbox mode for verification.
Settings - Communication,How to connect Wati WhatsApp,Settings > WhatsApp Settings > Wati,Must-have,Connect Wati as your WhatsApp provider.
Settings - Communication,How to connect Meta WhatsApp Business API,Settings > WhatsApp Settings > Meta,Must-have,Connect Meta directly as your WhatsApp provider.
Settings - Communication,How to manage Meta-approved WhatsApp templates,Settings > WhatsApp > Templates,Must-have,Author / submit / sync Meta-approved templates.
Settings - Communication,How to set up custom SMTP for email,Settings > Email Settings > SMTP,Must-have,Send email from your own domain.
Settings - Communication,How to connect SendGrid,Settings > Email Settings > SendGrid,Should-have,Use SendGrid as your email provider.
